名称,状态,最优步数,类型
new0,21393792712845104L,8,16
new4,651738028848016L,74,16
new14,21964705787889808L,8,16
new15,2885411232608144L,6,16
new16,2885411233698704L,-1,16
new17,2955781251895696L,15,16
new18,2885411233706896L,-1,16
new21,21507273717721232L,-1,16
new22,1152875909469072L,21,16
new23,20970445260729488L,-1,16
new25,20970445260762256L,-1,16
new26,21507273717541008L,-1,16
new29,12948177261794192L,0,16
new32,12948142902055824L,0,16
new36,20970445260296592L,-1,16
new40,2411008724051600L,34,16
new55,21974601357857168L,4,16
new59,4046763057763216L,9,16
new60,21524084219472016L,-1,16
new61,10696910645875600L,-1,16
new62,2920596879061904L,-1,16
new63,10135061277823888L,-1,16
new64,10696911719617424L,-1,16
new65,21524084219461776L,-1,16
new72,2411009797793360L,40,16
new79,3738891203761040L,4,16
new84,20706047098642800L,-1,16
new85,20706047098643824L,-1,16
new87,9078446432826000L,76,16
new88,9078446432342928L,77,16
new89,20706047098630032L,-1,16
new92,20697767500375952L,-1,16
new93,2270272325732496L,-1,16
new94,20970445260722576L,-1,16
new95,20970445260755344L,-1,16
new97,21753565195856016L,-1,16
new102,21507273717715344L,9,16
new105,10416536254534544L,-1,16
new109,2815361374073744L,-1,16
new110,21700014468540560L,7,16
new112,21700014434980240L,6,16
new114,21753565211060368L,-1,16
new115,3395353724179344L,10,16
new117,651738020459152L,75,16
new122,3448370808869776L,4,16
new124,2533886412516752L,-1,16
new125,2533886412501904L,-1,16
new126,2955781243244944L,15,16
new128,2955781243507088L,15,16
new131,20987522075353456L,-1,16
new132,20987522075354480L,-1,16
new136,21462760223958416L,8,16
new142,20987522075340176L,31,16
new148,20416284168611728L,-1,16
new150,9712864655175056L,70,16
new151,9078446432826256L,75,16
new153,722106764071312L,58,16
new163,21446835776536720L,-1,16
new164,21446835810099344L,-1,16
new165,21446835776544912L,-1,16
new166,21446835810091152L,-1,16
new168,2920596870673040L,-1,16
new170,21499079188570256L,-1,16
new171,4055550552462224L,8,16
new172,2920596870673296L,-1,16
new173,722106772459920L,57,16
new175,10698011231245200L,-1,16
new177,21506500892057744L,-1,16
new179,3448370815882128L,4,16
new181,2533886397363088L,-1,16
new185,2955781246652816L,13,16
new186,2955781251633552L,15,16
new187,10415435674152592L,30,16
new188,2271371829453968L,-1,16
new193,21684079837942160L,6,16
new195,20688970284018832L,-1,16
new196,20688970284051600L,-1,16
new197,20688970283586448L,-1,16
new198,12666702285083536L,0,16
new202,20697759145322384L,-1,16
new204,20987522075353488L,-1,16
new205,20987522075354512L,-1,16
new206,2412109309174064L,37,16
new207,2412109300785456L,37,16
new208,12666702307333008L,0,16
new210,12666702307355792L,0,16
new211,3659511408153488L,6,16
new213,3448645678388112L,15,16
new216,3659511408160400L,6,16
new217,10415435669164944L,-1,16
new220,2920596858360720L,11,16
