名称,状态,最优步数,类型
new1,18141001294334814L,66,30
new2,20839168444508318L,-1,30
new3,18651174664448894L,-1,30
new6,20549361289941918L,-1,30
new7,19706706086931070L,62,30
new9,18651174664448638L,-1,30
new11,3959431834987390L,-1,30
new12,2261855154826110L,29,30
new13,20839168444010910L,26,30
new15,18061837296027774L,-1,30
new16,2269446343070110L,-1,30
new20,18387291933567358L,-1,30
new22,2269446343004574L,8,30
new23,2269723344343454L,17,30
new24,3660365032909694L,36,30
new25,2552640823421086L,-1,30
new27,2552597874316190L,-1,30
new28,2269446342325150L,-1,30
new30,2834080350745246L,-1,30
new33,18104717385444990L,70,30
new34,2834080349860510L,7,30
new35,18060961122472862L,-1,30
new37,2834080350745502L,-1,30
new38,3952319109064542L,45,30
new39,19442823094905214L,51,30
new43,18104717385445246L,70,30
new45,18668766910261630L,67,30
new47,2552632234021790L,-1,30
new48,2261855188568702L,29,30
new49,2261855188373374L,26,30
new53,11559324681857918L,54,30
new55,21411411943752798L,44,30
new56,3396756541074046L,-1,30
new58,3396756541067134L,-1,30
new59,20839134084305310L,-1,30
new60,3396756541548158L,-1,30
new63,19705022527049118L,35,30
new64,2552623644103582L,-1,30
new68,3395878783898526L,6,30
new69,18025785341545630L,-1,30
new73,19442823094904158L,52,30
new74,18016989248523422L,-1,30
new75,19442823094904190L,52,30
new82,2543828330965918L,-1,30
new83,3395878783905438L,7,30
new84,18016989248818334L,-1,30
new85,1707658126912670L,-1,30
new86,1707666716234142L,-1,30
new88,18105215601651358L,-1,30
new89,19196532758962302L,-1,30
new90,2834081423609246L,-1,30
new91,2834081424970142L,-1,30
new92,1707658126889886L,-1,30
new96,18105224191586206L,-1,30
new98,18105215601651614L,-1,30
new99,19196532758954110L,-1,30
new100,2834081423617438L,-1,30
new101,18025785341350814L,-1,30
new102,2834081425232286L,-1,30
new103,18016989248328606L,-1,30
new104,18105224192693150L,-1,30
new107,2534963619129982L,-1,30
new108,2262353371032478L,-1,30
new109,3395878783931294L,6,30
new110,18378496652911742L,76,30
new111,3943523016042334L,46,30
new112,18025793931480478L,-1,30
new116,2534963619122846L,-1,30
new117,18016997838458270L,-1,30
new120,19724298340279422L,52,30
new121,18016997838473342L,-1,30
new123,18651681470589854L,-1,30
new124,18651672880655262L,-1,30
new126,2552589284397982L,-1,30
new127,19707212893072286L,-1,30
new128,18651681471665054L,-1,30
new129,1707658126922654L,-1,30
new130,19707204303137694L,-1,30
new132,3959430761245598L,-1,30
new137,3660365032908638L,38,30
new138,18651672880655006L,-1,30
new140,3660365032908670L,37,30
new141,19707204303137438L,-1,30
new142,21410278055954590L,-1,30
new144,2534963619130014L,-1,30
new145,21410278055962782L,-1,30
new146,2543828364708510L,-1,30
new149,2552606448259486L,-1,30
new150,2552606448521630L,-1,30
new153,19707212926814366L,-1,30
new154,2262353404775070L,-1,30
new155,2262353404580766L,25,30
new156,3396755467326366L,7,30
new157,18017228726504606L,-1,30
new158,3396755467332254L,-1,30
new159,18017228726309278L,-1,30
new161,3396755467806366L,-1,30
new163,21410312416168094L,-1,30
new165,18017228726309534L,-1,30
new166,18015586457850526L,-1,30
new167,21410312416430238L,-1,30
new168,18015586457113502L,-1,30
new169,1426191740113310L,-1,30
new170,1426191740146078L,-1,30
new171,1426191740047774L,-1,30
new172,19423547583958174L,-1,30
new174,19705022560668830L,-1,30
new175,1707666716823966L,-1,30
new177,1707666716856734L,-1,30
new181,18016997838753182L,-1,30
new184,19143172135357598L,57,30
new188,10151366052875422L,-1,30
new189,10151366029544606L,-1,30
new191,20276210714053534L,-1,30
new193,2552605374034590L,-1,30
new194,2552605374034846L,-1,30
new196,18016989282093182L,-1,30
new197,18016989282101374L,-1,30
new198,18025785375123582L,-1,30
new199,18651174689614718L,-1,30
new202,20839168478062750L,-1,30
new203,18651174698003326L,-1,30
new206,18651174689614462L,-1,30
new211,18651174698003070L,-1,30
new214,18017228726504862L,-1,30
new215,2543828364708766L,-1,30
new216,19423547584424062L,52,30
new217,20839168469117342L,-1,30
new218,18017228726505118L,-1,30
new219,20839168477565342L,25,30
new221,2269446351458718L,-1,30
new226,2269721229365662L,-1,30
new227,3660362918979454L,-1,30
new228,2269721228620702L,-1,30
new229,3660362918979486L,-1,30
new230,3670844182415198L,46,30
new231,1426706926267550L,-1,30
new232,3396756541074302L,-1,30
new233,2269446350713758L,-1,30
new234,1426706901258110L,-1,30
new235,3670844182415166L,47,30
new236,1708163892253598L,-1,30
new238,9097467514375838L,46,30
new237,90268259378846L,-1,30
new239,18060961156763294L,-1,30
new240,18069757249202302L,-1,30
new242,19423256063519390L,-1,30
new244,2262353404775326L,-1,30
new246,1708163892276382L,-1,30
new248,19424646827607422L,-1,30
new250,3396755467806622L,-1,30
new252,20839202828855678L,29,30
new254,3396755467806558L,-1,30
new256,3959431834987134L,-1,30
new258,3959431834980222L,-1,30
new259,18017271944628606L,56,30
new260,1708163892253086L,36,30
new261,19704507130793854L,-1,30
new263,1692814685792414L,-1,30
new265,1692814685791390L,-1,30
new266,2261855154818942L,27,30
new267,2261855154825854L,28,30
new268,19707212926815134L,-1,30
new269,1692814685770654L,-1,30
new270,19707204336880542L,-1,30
new275,18104941621290110L,-1,30
new276,18105232874843550L,46,30
new279,19424646826864030L,39,30
new282,19707204336880286L,-1,30
new286,18025785375100062L,-1,30
new287,2269445278765470L,9,30
new288,18016989282077854L,-1,30
new289,19231717064204414L,-1,30
new290,2269445278020510L,9,30
new292,18016989282372766L,-1,30
new293,2261855188568958L,28,30
new294,1145231941324670L,-1,30
new295,18016989282634910L,-1,30
new297,18025785375657118L,-1,30
new298,19706121803793822L,-1,30
new299,18015586457850782L,-1,30
new300,2269721230717854L,11,30
new301,2552640807987358L,-1,30
new302,3396756541548382L,-1,30
new304,3660362918981534L,7,30
new305,1145231949556894L,-1,30
new306,19706121803793790L,-1,30
new307,3396756541548414L,-1,30
new309,2552640823412894L,-1,30
new310,19706121803793726L,-1,30
new311,19706122072237182L,-1,30
new314,2534963585568670L,-1,30
new315,19424646827607358L,-1,30
new316,19424647096050814L,-1,30
new317,3396755467332510L,-1,30
new318,2534963585568414L,-1,30
new321,18651681504144286L,-1,30
new322,19143172135363710L,-1,30
new323,2870983782835806L,58,30
new324,18651672914209694L,-1,30
new325,18651681495755678L,-1,30
new326,18651672905821086L,-1,30
new327,18651681505219486L,-1,30
new331,2269448456999326L,16,30
new332,2543330148502398L,43,30
new333,19143172143752318L,-1,30
new334,19706121803572638L,-1,30
new335,2870983782836062L,59,30
new336,18651672914209438L,-1,30
new337,19424646826861950L,-1,30
new338,2269448456933790L,16,30
new339,19424646826861982L,-1,30
new341,19706121803572606L,-1,30
new342,18069757249261214L,-1,30
new343,18651672905820830L,-1,30
new344,21410278055954846L,-1,30
new346,2534963585569694L,-1,30
new348,2543828330965662L,-1,30
new349,21410278055963038L,-1,30
new355,2834115784698014L,-1,30
new356,1708163892130718L,-1,30
new357,1426688916165022L,-1,30
new358,1426688916066718L,55,30
new359,19707212893071518L,-1,30
new360,2262353371032222L,-1,30
new361,2262353371026334L,26,30
new362,1426688915420062L,-1,30
new363,1708163892875678L,-1,30
new364,19705005347001246L,-1,30
new365,21410312416168350L,-1,30
new366,19707212893066142L,61,30
new367,18017228726317726L,-1,30
new368,3959430761239454L,14,30
new369,21410312416430494L,-1,30
new370,3959430761245342L,-1,30
new371,20839168469132702L,-1,30
new372,19705022526886302L,-1,30
new374,19423547550175646L,-1,30
new376,19424646827607454L,-1,30
new377,18025793931480222L,-1,30
new378,18016997838458014L,-1,30
new379,18025793931284894L,-1,30
new380,18016997838262686L,-1,30
new381,18016997838752926L,-1,30
new382,18017271944628638L,57,30
new386,18016989248538750L,-1,30
new387,18025785341546398L,-1,30
new388,18016989248524190L,-1,30
new389,1426191740136606L,-1,30
new390,21410897352501854L,43,30
new393,1707666716847262L,-1,30
new395,20285006304511134L,-1,30
new396,2870382487676830L,-1,30
new397,21410897352502110L,43,30
new399,18088224712387454L,-1,30
new401,20276219288299934L,-1,30
new402,20285006303761310L,-1,30
new414,21410312416191582L,40,30
new415,3943487582562206L,-1,30
new416,21692336870582686L,-1,30
new417,2552606463683742L,-1,30
new418,20866647929688990L,-1,30
new423,19231717064183166L,-1,30
new425,18105816897079678L,-1,30
new428,19231717064445310L,-1,30
new429,20839202862410110L,30,30
new430,18105816897087870L,-1,30
new432,20831463534269342L,-1,30
new433,19705005347179166L,72,30
new434,21676393951978910L,-1,30
new437,21409797833796190L,30,30
new438,21411996864136542L,37,30
new439,18060737784163966L,-1,30
new440,2269448432619934L,15,30
new441,2269448425542046L,15,30
new442,2253503423418782L,-1,30
new445,19706121971412382L,-1,30
new446,2253503423320478L,8,30
new448,20283906776949918L,-1,30
new452,2253503422673822L,-1,30
new453,20283906776929182L,-1,30
new458,1426191740070046L,-1,30
new459,1426191740071070L,-1,30
new460,90268151698334L,-1,30
new461,9097467408536478L,-1,30
new462,20276210698365086L,-1,30
new463,21410278055955294L,39,30
